實裝時間,角色名稱,角色中文名稱,星數,天冥,武器類型,防具類型,屬性,個性
2017/4/12,ルーフス,洛福斯,4,天,拳,項鍊,火,喜愛閱讀
2017/4/12,レイヴン,雷文,4,冥,杖,戒指,地,"蒙面,兜帽,失憶"
2017/4/12,レレ,蕾蕾,4,天,杖,戒指,水,"喜歡貓咪,動物對話"
2017/4/12,ロベーラ,羅貝拉,4,冥,弓,戒指,水,"機械,法外之人,軍人,失落實驗室"
2017/4/12,イーン,伊因,3,天,槍,手環,無,機械
2017/4/12,イシス,伊西斯,3,天,杖,戒指,無,弗利列斯
2017/4/12,ウーオ,烏奧,3,天,劍,手環,無,機械
2017/4/12,ウラニャ,烏拉尼雅,3,天,拳,項鍊,無,"蒙面,料理"
2017/4/12,エイシア,艾希雅,3,天,弓,戒指,無,"蒙面,怕生"
2017/4/12,エスタ,艾斯塔,3,天,斧,項鍊,無,弗利列斯
2017/4/12,エムス,艾姆斯,3,天,拳,項鍊,無,"弗利列斯,午睡"
2017/4/12,オール,歐爾,3,天,斧,項鍊,無,機械
2017/4/12,クート,庫托,3,天,刀,戒指,無,機械
2017/4/12,クトス,古拓斯,3,天,槌,手環,無,弗利列斯
2017/4/12,ケルキア,基露琪亞,3,冥,杖,戒指,無,"蒙面,順風耳"
2017/4/12,サウリャ,秀莉雅,3,天,槍,手環,無,"蒙面,喜歡起綽號"
2017/4/12,セース,賽斯,3,天,弓,戒指,無,機械
2017/4/12,テーム,提姆,3,天,拳,項鍊,無,機械
2017/4/12,トーム,托姆,3,冥,刀,戒指,無,"弗利列斯,復仇者"
2017/4/12,トール,托爾,3,天,槌,手環,無,機械
2017/4/12,ナトレー,娜托雷,3,天,劍,手環,無,"弗利列斯,忍者"
2017/4/12,ニクサ,尼克薩,3,天,弓,戒指,無,弗利列斯
2017/4/12,ヌーム,諾暮,3,天,杖,戒指,無,機械
2017/4/12,ネイリア,內莉雅,3,天,劍,手環,無,蒙面
2017/4/12,パシア,帕西雅,3,天,槌,手環,無,"喜歡貓咪,蒙面,動物對話"
2017/4/12,メネシア,梅尼西雅,3,冥,刀,戒指,無,蒙面
2017/4/12,ロディア,羅蒂亞,3,天,斧,項鍊,無,"蒙面,喜歡甜點"
2017/5/10,ディアドラ,蒂亞朵拉,5,冥,劍,手環,地,"米格蘭斯王宮,法外之人,失憶"
2017/5/10,アナベル,安娜貝爾,5,天,劍,手環,水,"米格蘭斯王宮,喜歡甜點,騎乘,盾"
2017/5/10,ネロ,尼洛,4,冥,拳,項鍊,水,東方
2017/5/24,アザミ,阿佐美,5,天,刀,戒指,風,"東方,喜歡甜點,戀愛煩惱"
2017/5/24,ラクレア,拉克萊兒,5,天,弓,戒指,水,"復仇者,屠龍者,喜歡小狗"
2017/5/24,サモラ,薩摩拉,4,天,槌,手環,火,"料理,採礦,美食,矮人"
2017/6/15,ジェイド,賈德,5,冥,槍,手環,火,IDA學園
2017/6/15,イスカ,伊絲卡,5,天,刀,戒指,風,"IDA學園,喜愛閱讀,COA,失落實驗室,萬能支配者"
2017/6/15,ルイナ,路伊娜,4,冥,劍,手環,風,"眼鏡,精靈,IDA學園,喜愛閱讀"
2017/7/4,ガリユ,伽琉,5,冥,杖,戒指,火,龍
2017/7/4,ユナ,由奈,5,天,杖,戒指,無,"東方,神職人員,怕生"
2017/7/4,ラビナ,羅維娜,4,天,弓,戒指,風,"吟遊詩人,精靈對話"
2017/7/20,ナギ,娜基,5,冥,斧,項鍊,地,"龍宮,王族,大胃王"
2017/7/20,シーラ,謝拉,4,天,槍,手環,水,"龍宮,王族,魚人"
2017/7/20,チヨ,千代,4,天,杖,戒指,地,龍宮
2017/8/8,リヴァイア,莉維雅,5,天,杖,戒指,水,"龍宮,失憶,魚人,封印"
2017/8/8,ユーイン,尤因,5,冥,槌,手環,火,"眼鏡,喜歡甜點,採礦,裝備,詛咒"
2017/8/8,エリナ,艾莉娜,4,天,杖,戒指,無,靈媒體質
2017/9/14,メリナ,玫莉娜,5,冥,槌,手環,水,"喜歡甜點,神職人員,吟遊詩人,採礦,西方,王族"
2017/9/14,ノノルド,諾諾德,4,天,杖,戒指,無,"科學家,採集,KMS公司"
2017/9/14,ジルバー,茲爾巴,4,冥,斧,項鍊,地,"採集,藝術品"
2017/9/25,いいマクマク,巴巴碰,4,天,拳,項鍊,風,"喜歡甜點,討厭貓咪"
2017/10/5,シェリーヌ,思琳,5,天,拳,項鍊,地,"眼鏡,IDA學園"
2017/10/5,セティー,謝提,5,天,槍,手環,火,"眼鏡,騎乘,COA"
2017/10/5,ヤヅキ,耶月,4,天,斧,項鍊,風,"眼鏡,法外之人,喜歡黑尾鷗"
2017/10/20,シェイネ,謝奈,5,天,劍,手環,水,"戀愛煩惱,詛咒"
2017/11/15,ミュルス,繆露絲,5,天,杖,戒指,地,魔獸
2017/11/24,ギルドナ,基爾德那,5,冥,劍,手環,火,"魔獸,冥之誘惑,王族"
2017/11/24,シュゼット(AS),蘇賽特(AS),5,天,槍,手環,風,"喜歡甜點,美食,失落實驗室"
2017/12/12,ベルトラン,貝特朗,5,天,槍,手環,地,"米格蘭斯王宮,盾"
2017/12/22,フェルミナ,菲露米娜,5,冥,拳,項鍊,風,"米格蘭斯王宮,法外之人,忍者"
2017/12/31,マイティ(AS),麥提(AS),5,天,杖,戒指,水,"IDA學園,午睡"
2018/1/29,クロード,克勞特,5,天,弓,戒指,風,"IDA學園,王族,喜愛閱讀,龍"
2018/1/29,サキ,紗希,4,天,杖,戒指,水,IDA學園
2018/2/20,ツキハ,月華,5,冥,刀,戒指,火,"東方,蒙面,復仇者,詛咒,王族,妖怪"
2018/3/15,サキ(AS),紗希(AS),5,天,杖,戒指,水,IDA學園
2018/3/15,イスカ(AS),伊絲卡(AS),5,天,刀,戒指,風,"IDA學園,喜愛閱讀,COA,失落實驗室,萬能支配者"
2018/3/30,シャノン,夏濃,5,天,劍,手環,風,"喜歡貓咪,藝術品,KMS公司"
2018/4/6,レンリ,雷莉,5,天,斧,項鍊,火,"眼鏡,喜歡甜點,COA"
2018/4/12,トゥーヴァ(AS),杜娃(AS),5,冥,杖,戒指,地,"靈媒體質,喜歡起綽號,葬儀"
2018/4/27,エルガ,艾露嘉,5,冥,刀,戒指,地,"喜歡貓咪,兜帽,失憶"
2018/5/31,ヴェイナ,維娜,5,天,杖,戒指,風,"精靈,採集,生物,喜愛閱讀"
2018/6/28,シオン(AS),紫央(AS),5,天,刀,戒指,火,"喜歡貓咪,東方,竹馬之友,騎乘,普賢一刀流"
2018/7/24,デューイ,杜伊,5,天,拳,項鍊,水,"眼鏡,戀愛煩惱,喜愛閱讀,手槍,失落實驗室"
2018/8/14,ラディカ,拉蒂卡,5,冥,杖,戒指,火,"精靈,戀愛煩惱"
2018/8/14,ノポウ族,波波羅,4,天,槌,手環,風,"鐵匠鋪,採礦,兜帽,怕生"
2018/8/21,イルルゥ,伊露露,5,冥,斧,項鍊,風,"蒙面,兜帽,煉獄界"
2018/9/13,ラクレア(AS),拉克萊兒(AS),5,天,弓,戒指,水,"復仇者,屠龍者,喜歡小狗"
2018/10/25,ホオズキ,皓月,5,天,弓,戒指,火,"東方,料理,喜歡力水,妖怪"
2018/11/29,ヴィアッカ,維婭卡,5,冥,槌,手環,風,"蒙面,法外之人,軍人,手槍"
2018/11/29,ガリアード,嘉里德,4,冥,槍,手環,地,"合成人類,騎乘,法外之人,手槍"
2018/12/13,メリナ(AS),玫莉娜(AS),5,冥,槌,手環,水,"喜歡甜點,神職人員,吟遊詩人,採礦,西方,王族"
2018/12/25,ツバメ,燕,5,天,拳,項鍊,地,"東方,忍者,大胃王"
2018/12/31,シグレ,時雨,5,天,刀,戒指,水,"喜歡貓咪,東方,竹馬之友,騎乘,喜歡力水,普賢一刀流"
2019/1/17,アカネ(AS),茜(AS),5,天,刀,戒指,火,東方
2019/1/30,ロゼッタ,蘿潔塔,5,冥,杖,戒指,火,"喜歡貓咪,神職人員,西方,順風耳"
2019/2/14,ナギ(AS),娜基(AS),5,冥,斧,項鍊,地,"龍宮,王族,大胃王"
2019/2/27,フィロ,菲羅,5,天,斧,項鍊,水,樵夫
2019/3/14,ラブリ,拉布莉,5,天,拳,項鍊,火,"料理,矮人"
2019/3/28,ロキド(AS),洛基德(AS),5,天,拳,項鍊,地,"魔獸,復仇者"
2019/4/12,ヒスメナ,希斯梅娜,5,天,槍,手環,水,IDA學園
2019/4/12,マリエル(AS),瑪莉艾爾(AS),5,天,杖,戒指,無,"喜歡貓咪,神職人員"
2019/4/30,マナ,瑪娜,5,天,弓,戒指,無,IDA學園
2019/4/30,ルイナ(AS),路伊娜(AS),5,冥,劍,手環,風,"眼鏡,精靈,IDA學園,喜愛閱讀"
2019/5/17,デュナリス,杜拿利斯,5,冥,杖,戒指,風,"魔獸,葬儀,動物對話,煉獄界"
2019/5/30,シェイネ(AS),謝奈(AS),5,天,劍,手環,水,"戀愛煩惱,詛咒"
2019/6/13,ガリユ(AS),伽琉(AS),5,冥,杖,戒指,火,龍
2019/6/13,ユナ(AS),由奈(AS),5,天,杖,戒指,水,"東方,神職人員,怕生"
2019/7/1,クロード(AS),克勞特(AS),5,天,弓,戒指,風,"IDA學園,王族,喜愛閱讀,龍"
2019/7/22,キキョウ,桔梗,5,天,斧,項鍊,風,"喜歡貓咪,東方,復仇者,騎乘"
2019/8/8,アルテナ,阿露媞娜,5,冥,弓,戒指,無,"魔獸,精靈對話,王族"
2019/8/8,わら坊,草人小子,5,天,拳,項鍊,無,"東方,稻草人"
2019/8/8,ニケ(AS),尼姬(AS),5,冥,刀,戒指,水,"東方,法外之人"
2019/8/21,プレメア,普蕾米婭,5,天,弓,戒指,地,"機械,失落實驗室"
2019/9/6,セティー(AS),謝提(AS),5,天,槍,手環,火,"眼鏡,騎乘,COA"
2019/9/18,ミュンファ,霧華,5,天,槌,手環,地,"東方,戀愛煩惱,封印"
2019/10/1,フェルミナ(AS),菲露米娜(AS),5,冥,拳,項鍊,風,"米格蘭斯王宮,法外之人,忍者"
2019/10/31,エルガ(AS),艾露嘉(AS),5,冥,刀,戒指,地,"喜歡貓咪,兜帽,失憶"
2019/11/15,ティラミス,提拉米蘇,5,天,槍,手環,地,"喜歡甜點,龍"
2019/11/29,レンリ(AS),雷莉(AS),5,天,斧,項鍊,火,"眼鏡,喜歡甜點,COA"
2019/12/12,ジョーカー,JOKER,5,冥,劍,手環,火,"蒙面,眼鏡,心之怪盜團,手槍"
2019/12/12,モルガナ,摩爾加納,5,冥,劍,手環,風,"心之怪盜團,戀愛煩惱,失憶"
2019/12/12,ミュルス(AS),繆露絲(AS),5,天,杖,戒指,地,魔獸
2019/12/26,ラディアス,拉迪亞斯,5,天,劍,手環,火,"米格蘭斯王宮,盾"
2019/12/31,アナベル(AS),安娜貝爾(AS),5,天,劍,手環,水,"米格蘭斯王宮,喜歡甜點,騎乘,盾"
2020/1/16,ゼヴィーロ,塞維羅,5,冥,斧,項鍊,水,"魔獸,兜帽,煉獄界"
2020/1/30,ヴェイナ(AS),維娜(AS),5,天,杖,戒指,風,"精靈,採集,生物,喜愛閱讀"
2020/2/13,シンシア,申西雅,5,天,劍,手環,風,"藝術品,美食,王族,喜愛閱讀,封印"
2020/2/27,シャノン(AS),夏濃(AS),5,天,劍,手環,風,"喜歡貓咪,藝術品,KMS公司"
2020/3/12,ソフィア,蘇菲婭,5,冥,斧,項鍊,水,"裝備,藝術品,生物,美食,封印"
2020/3/12,ハーディー,哈迪,5,冥,拳,項鍊,火,"喜歡甜點,裝備,生物,法外之人,喜歡小狗,手槍"
2020/3/30,シエル(AS),西雅爾(AS),5,天,弓,戒指,地,吟遊詩人
2020/4/11,チルリル,琪路莉露,5,冥,劍,手環,"陰,火","喜歡甜點,神職人員,西方"
2020/4/11,フォラン(AS),芙朗(AS),5,天,槍,手環,水,"IDA學園,討厭貓咪"
2020/4/29,クラルテ,古拉爾迪,5,冥,杖,戒指,"晶,地","西方,大地稜晶,失憶"
2020/4/29,ヴィクト,維克多,5,冥,刀,戒指,"雷,風","巴路奧其,詛咒"
2020/5/14,ミストレア,米絲特雷婭,5,冥,弓,戒指,"晶,風","吟遊詩人,西方,喜歡起綽號,喜愛閱讀"
2020/5/29,ツキハ(AS),月華(AS),5,冥,刀,戒指,火,"東方,蒙面,復仇者,詛咒,王族,妖怪"
2020/6/16,ユキノ,雪乃,5,天,弓,戒指,水,"東方,妖怪"
2020/7/3,ヒイナ,緋奈,5,冥,刀,戒指,風,"東方,機械"
2020/7/16,ロゼッタ(AS),蘿潔塔(AS),5,冥,杖,戒指,火,"喜歡貓咪,神職人員,西方,順風耳"
2020/7/30,ベルトラン(AS),貝特朗(AS),5,天,槍,手環,地,"米格蘭斯王宮,盾"
2020/8/13,イーファ,伊法,5,天,槌,手環,風,"神職人員,戀愛煩惱,喜歡起綽號,喜歡力水"
2020/8/27,ホオズキ(AS),皓月(AS),5,天,弓,戒指,火,"東方,料理,喜歡力水,妖怪"
2020/9/10,イルルゥ(AS),伊露露(AS),5,冥,斧,項鍊,風,"蒙面,兜帽,煉獄界"
2020/9/24,ユーイン(AS),尤因(AS),5,冥,槌,手環,火,"眼鏡,喜歡甜點,採礦,裝備,詛咒"
2020/10/15,ミルシャ,米露莎,5,冥,槍,手環,"陰,地","吟遊詩人,西方,魚人"
2020/10/29,ヴァイオレット,VIOLET,5,天,劍,手環,地,"蒙面,心之怪盜團,大胃王,手槍"
2020/10/29,スカル,SKULL,5,天,槌,手環,雷,"蒙面,心之怪盜團,手槍"
2020/10/29,ヒスメナ(AS),希斯梅娜(AS),5,天,槍,手環,水,IDA學園
2020/11/10,ラディカ(AS),拉蒂卡(AS),5,冥,杖,戒指,火,"精靈,戀愛煩惱"
2020/11/20,ミーユ(AS),米悠(AS),5,天,劍,手環,火,"米格蘭斯王宮,王族"
2020/12/3,イウェラ,伊薇拉,5,天,槍,手環,"水,晶",精靈
2020/12/17,クレス,克雷斯,5,天,劍,手環,火,時空幻境
2020/12/17,ユーリ,由利,5,冥,刀,戒指,風,時空幻境
2020/12/17,ミラ,蜜樂,5,天,劍,手環,水,時空幻境
2020/12/17,ベルベット,薇爾貝特,5,冥,劍,手環,地,時空幻境
2020/12/17,デュナリス(AS),杜拿利斯(AS),5,冥,杖,戒指,風,"魔獸,葬儀,動物對話,煉獄界"
2020/12/31,メリナ(ES),玫莉娜(ES),5,冥,拳,項鍊,"雷,水","喜歡甜點,神職人員,吟遊詩人,採礦,西方,王族"
2021/1/14,シグレ(AS),時雨(AS),5,天,刀,戒指,水,"喜歡貓咪,東方,竹馬之友,騎乘,喜歡力水,普賢一刀流"
2021/1/28,ティラミス(AS),提拉米蘇(AS),5,天,槍,手環,地,"喜歡甜點,龍"
2021/2/9,メリッサ,梅莉莎,5,冥,刀,戒指,"晶,風","合成人類,KMS公司"
2021/2/25,メロディ,美露迪,5,天,杖,戒指,風,"IDA學園,怕生"
2021/3/11,クラルテ(AS),古拉爾迪(AS),5,冥,杖,戒指,"晶,地","西方,大地稜晶,失憶"
2021/3/11,チルリル(AS),琪路莉露(AS),5,冥,劍,手環,"陰,火","喜歡甜點,神職人員,西方"
2021/3/25,ツバメ(AS),燕(AS),5,天,拳,項鍊,地,"東方,忍者,大胃王"
2021/4/12,ねここ,貓可可,5,天,斧,項鍊,地,"喜歡貓咪,東方,動物對話,妖怪"
2021/4/12,ツキハ(ES),月華(ES),5,冥,弓,戒指,風,"東方,蒙面,復仇者,詛咒,王族,妖怪"
2021/4/27,ガラムバレル,格拉姆巴雷爾,5,天,槍,手環,風,"東方,詛咒,泰坦"
2021/5/13,ミュンファ(AS),霧華(AS),5,天,槌,手環,地,"東方,戀愛煩惱,封印"
2021/6/10,ヴィクト(AS),維克多(AS),5,冥,刀,戒指,"雷,風","巴路奧其,詛咒"
2021/6/24,チヨ(AS),千代(AS),5,天,杖,戒指,地,龍宮
2021/7/16,ハーディー(AS),哈迪(AS),5,冥,拳,項鍊,火,"喜歡甜點,裝備,生物,法外之人,喜歡小狗,手槍"
2021/7/29,シーラ(AS),謝拉(AS),5,天,槍,手環,水,"龍宮,王族,魚人"
2021/7/29,ピチカ,碧琪卡,5,天,弓,戒指,火,"吟遊詩人,北方"
2021/8/19,キキョウ(AS),桔梗(AS),5,天,斧,項鍊,風,"喜歡貓咪,東方,復仇者,騎乘"
2021/8/30,リヴァイア(AS),莉維雅(AS),5,天,杖,戒指,水,"龍宮,失憶,魚人,封印"
2021/8/30,ナギ(ES),娜基(ES),5,冥,杖,戒指,"晶,水","龍宮,王族,大胃王"
2021/9/15,ゼヴィーロ(AS),塞維羅(AS),5,冥,斧,項鍊,水,"魔獸,兜帽,煉獄界"
2021/9/30,ヒナギク,雛菊,5,冥,槌,手環,地,"喜歡力水,喜歡小狗,煉獄界"
2021/10/14,キュリオ,庫利歐,5,天,刀,戒指,"陰,風","喜歡甜點,IDA學園,喜愛閱讀,失落實驗室,萬能支配者"
2021/10/14,イスカ(ES),伊絲卡(ES),5,天,劍,手環,"陰,火","IDA學園,喜愛閱讀,COA,失落實驗室,萬能支配者"
2021/10/28,黒衣の刀使い,黑衣刀手,5,冥,刀,戒指,"陰,地","失落實驗室,萬能支配者"
2021/11/16,赤套の炎使い,赤套火焰使,5,冥,拳,項鍊,"晶,火","手槍,失落實驗室"
2021/11/30,碧光の鎌使い,碧光鐮刀手,5,冥,斧,項鍊,風,"喜歡甜點,美食,失落實驗室"
2021/12/9,セルジュ,賽爾傑,5,天,劍,手環,無,"新夢想過激團,新時空極限流派,時之傷痕的舞曲"
2021/12/9,キッド,琪德,5,天,刀,戒指,火,"新夢想過激團,時之傷痕的舞曲"
2021/12/9,ツクヨミ,月讀,5,冥,杖,戒指,"陰,火","新時空極限流派,時之傷痕的舞曲"
2021/12/9,ミストレア(AS),米絲特雷婭(AS),5,冥,弓,戒指,"晶,風","吟遊詩人,西方,喜歡起綽號,喜愛閱讀"
2021/12/24,フラムラピス,芙朗姆拉比絲,5,天,杖,戒指,水,"神職人員,大胃王,泰坦"
2021/12/31,紫装の槍使い,紫裝槍手,5,冥,槍,手環,地,失落實驗室
2022/1/14,銀織の雷使い,銀織雷電使,5,冥,弓,戒指,"雷,水","機械,失落實驗室"
2022/1/28,マユ,麻結,5,天,杖,戒指,水,IDA學園
2022/1/28,シュゼット(ES),蘇賽特(ES),5,天,槌,手環,火,"喜歡甜點,美食,失落實驗室"
2022/2/10,エヴァ,伊娃,5,天,杖,戒指,"晶,水",龍
2022/2/22,オトハ(AS),乙葉(AS),5,天,刀,戒指,地,"喜歡貓咪,東方,生物"
2022/3/18,ミルシャ(AS),米露莎(AS),5,冥,槍,手環,"陰,地","吟遊詩人,西方,魚人"
2022/3/30,フィロ(AS),菲羅(AS),5,天,斧,項鍊,水,樵夫
2022/4/12,ノーナ,諾娜,5,冥,弓,戒指,"陰,水","兜帽,失憶,王族"
2022/4/12,ノクシス,諾克西斯,5,冥,槌,手環,風,科學家
2022/4/12,ミーユ(ES),米悠(ES),5,天,槍,手環,"雷,地","米格蘭斯王宮,王族"
2022/4/12,オルレイア,奧爾蕾雅,5,天,斧,項鍊,"雷,火",怕生
2022/4/27,星の子,星之子,5,天,杖,戒指,晶,時之傷痕的舞曲
2022/4/27,ラディアス(AS),拉迪亞斯(AS),5,天,劍,手環,火,"米格蘭斯王宮,盾"
2022/5/12,アザミ(AS),阿佐美(AS),5,天,刀,戒指,風,"東方,喜歡甜點,戀愛煩惱"
2022/5/12,墨染の軍師,墨染的軍師,5,冥,杖,戒指,火,"喜歡貓咪,東方,喜愛閱讀,普賢一刀流"
2022/5/26,イーファ(AS),伊法(AS),5,天,槌,手環,風,"神職人員,戀愛煩惱,喜歡起綽號,喜歡力水"
2022/6/9,アルマ,阿爾瑪,5,冥,弓,戒指,晶,"喜歡貓咪,手槍,?金術師,眼鏡"
2022/6/23,レレ(AS),蕾蕾(AS),5,天,杖,戒指,水,"喜歡貓咪,動物對話"
2022/7/7,ウクアージ,烏庫亞吉,5,冥,拳,項鍊,水,
2022/7/7,ユキノ(AS),雪乃(AS),5,天,弓,戒指,水,"東方,妖怪"
2022/7/28,アィシャ,艾夏,5,天,杖,戒指,"火,水","吟遊詩人,詛咒"
2022/7/28,ソイラ(AS),蘇依萊(AS),5,天,槍,手環,風,"米格蘭斯王宮,午睡"
2022/8/8,クロード(ES),克勞特(ES),5,天,劍,手環,地,"IDA學園,王族,喜愛閱讀,龍"
2022/8/25,シンシア(AS),申西雅(AS),5,天,劍,手環,風,"藝術品,美食,王族,喜愛閱讀,封印"
2022/9/8,ヴィアッカ(AS),維婭卡(AS),5,冥,槌,手環,風,"蒙面,法外之人,軍人,手槍"
2022/9/21,ねここ(AS),貓可可(AS),5,天,斧,項鍊,地,"喜歡貓咪,東方,動物對話,妖怪"
2022/10/6,花咲の姫君,花燦公主,5,天,槍,手環,火,"東方,王族,喜愛閱讀,妖怪"
2022/11/1,アシュティア,阿蘇提雅,5,天,拳,項鍊,火,"眼鏡,科學家,巴路奧其,手槍"
2022/11/1,ミナルカ,米娜爾卡,5,冥,劍,手環,火,"軍人,大胃王,時間帝國"
2022/11/11,フラムラピス(AS),芙朗姆拉比絲(AS),5,天,杖,戒指,水,"神職人員,大胃王,泰坦"
2022/11/24,ガラムバレル(AS),格拉姆巴雷爾(AS),5,天,槍,手環,風,"東方,詛咒,泰坦"
2022/12/6,ヒイナ(AS),緋奈(AS),5,冥,刀,戒指,風,"東方,機械"
2022/12/20,月華の令嬢,月華千金,5,冥,劍,手環,水,IDA學園
2022/12/20,コレット,柯蕾特,5,天,杖,戒指,無,"喜歡小狗,時空幻境,協奏聯技"
2022/12/20,ロイド,洛伊德,5,天,刀,戒指,火,"時空幻境,協奏聯技"
2022/12/20,シオン,希儂,5,冥,弓,戒指,火,"詛咒,大胃王,手槍,時空幻境,協奏聯技"
2022/12/20,アルフェン,奧爾芬,5,冥,劍,手環,火,"蒙面,失憶,時空幻境,協奏聯技"
2022/12/30,マリエル(ES),瑪莉艾爾(ES),5,天,拳,項鍊,晶,"喜歡貓咪,神職人員"
2023/1/12,銀朱の九尾,銀朱九尾,5,冥,槍,手環,火,"東方,料理,喜歡力水,妖怪"
2023/1/26,デューイ(AS),杜伊(AS),5,天,拳,項鍊,水,"眼鏡,戀愛煩惱,喜愛閱讀,手槍,失落實驗室"
2023/2/9,エニ,艾妮,5,冥,杖,戒指,"火,陰","喜歡力水,手槍"
2023/2/28,ヤクモ,八雲,5,冥,杖,戒指,陰,"KMS公司,怕生"
2023/3/16,シェリーヌ(AS),思琳(AS),5,天,拳,項鍊,地,"眼鏡,IDA學園,法外之人"
2023/3/16,残影の佳人,殘影佳人,5,冥,劍,手環,地,"KMS公司,喜歡小狗,失憶"
2023/3/30,ラブリ(AS),拉布莉(AS),5,天,拳,項鍊,火,"料理,喜歡起綽號,矮人"
2023/4/12,トゥーヴァ(ES),杜娃(ES),5,冥,槌,手環,"水,陰","靈媒體質,喜歡起綽號,葬儀"
2023/4/12,セスタ,賽絲塔,5,冥,刀,戒指,風,復仇者
2023/4/12,ノーナ(AS),諾娜(AS),5,冥,弓,戒指,"陰,水","兜帽,失憶,王族"
2023/4/27,ピチカ(AS),碧琪卡(AS),5,天,弓,戒指,火,"吟遊詩人,北方"
2023/5/11,深緋の刈人,深緋收割者,5,冥,斧,項鍊,水,"蒙面,煉獄界"
2023/5/25,プレメア(AS),普蕾米婭(AS),5,天,弓,戒指,地,"料理,機械,失落實驗室"
2023/6/8,エルシール,艾爾席兒,5,天,劍,手環,水,"裝備,喜愛閱讀"
2023/6/8,ベネディト,貝內迪特,5,冥,斧,項鍊,風,"採集,法外之人,樵夫"
2023/6/22,フェルミナ(ES),菲露米娜(ES),5,冥,斧,項鍊,水,"米格蘭斯王宮,法外之人,兜帽,忍者"
2023/7/6,メロディ(AS),美露迪(AS),5,天,杖,戒指,風,"IDA學園,怕生"
2023/7/6,ノクシス(AS),諾克西斯(AS),5,冥,槌,手環,風,科學家
